position,skills
Head/VP/GM-Quality,"Consulting,Windows,SQL,CRM,SAP,microsoft,Active directory,Dynamics CRM,Biztalk,Software services"
Branch Manager,"NSE,Branch management,Financial services,Equity"
Trainee,"Communication Skills,Hr Mba,Hr Fresher"
System Administrator,"JIRA,Administration"
Technical Support Manager,"Technical support,Networking,Windows,Active directory,DNS,Asset management,RCA,Corporate,Customer service,Windows active directory"
Software Developer,"VB.NET,Oracle SQL,Windows Services,ADO.Net,Web Technologies,SQL Server,WCF,Crystal Report,IBM DB2,Web Services"
Sales/Business Development-Manager,"Relationship management,MS Office,Recruitment,Agency sales,Analytical,Focus,channel strategy,Training and Development,Management,Servicing"
Software Developer,"CSS,XML,Javascript,HTML,Web Services,VS,Web Technologies,Apex,Visualforce,SQL"
System Administrator,"system administration,linux environment,ldap,desktop engineering,linux,dns,redhat linux"
Software Developer,"OIM,Oracle Identity Manager,Identity Management"
Senior Design Engineer,"Instrumentation,Automotive,Simulation,Powertrain,MATLAB,Analytical,Mechatronics,Simulink,Diagnostics,Change management"
HR Executive,"Grievance Handling,factory hr,Induction,Joining Formalities,Leave,Exit Formalities,Leave Management,Recruitment,labour,HR Generalist Activities,HRIS,PF,Employee Engagement,ESI,Payroll Processing,attendance"
Manager - Market Research / Consumer Insights / Industry Analysis,"Research,Marketing Analytics,Market Research"
Trainer,"tpo,Corporate Relations,campus hiring,training,Industrial Training,placement"
Software Developer,"Windows,MS Office,Telemarketing,Training,Excel,MS Word,Technical support"
Counselor,Student Counsellor
Associate/Senior Associate -(NonTechnical),"Technical support,Outbound,Night shift,Service,English,Comp,Business Executive,Technical Support Executive,process,US shift"
Senior Design Engineer,"Autosar,embedded c"
Software Developer,"Business process,Automation,Front end,Healthcare,Web designing,jQuery mobile,Windows,Analytics,Android,CSS3"
Technical Support Engineer,"MS - SQL server,Jenkins,DevOps,Powershell,Splunk,Scripting"
Head/VP/GM-Recruitment,"talent management,talent acquisition,recruitment,succession planning,people management,leadership development,employee communication,talent development,performance management"
Accounts Executive/Accountant,"English,Bengali,Law,Income tax,Advocate,Business Executive"
Software Developer,"coding,design,ux,web,graphics"
Recruitment Executive,"us it recruitment,go getter,us it staffing,us staffing,w2,sourcing,communication skills"
Front Office/Guest Relations Executive/Manager,"Hospitality,Event management,Visa processing,Interpersonal skills,Networking"
Accounts Executive/Accountant,"Auditor,asset servicing,Financial statements,Financial reporting,Accounting,Management,Net asset value"
Analytics Manager,"digital marketing,customer segmentation,life cycle,product management,customer research,competitive intelligence,customer retention,campaign analytics,telemarketing"
Software Developer,"OOPS,Magento,Senior Magento Developer,PHP,Magento Developer"
Software Developer,"Java,Core Java,MySQL,Spring Framework,Spring Boot,Node.Js,AWS,IOT"
Software Developer,"Python,Performance testing,SAN,Selenium,Analytics,Data management,GIT,French,SCALA"
Reservations Executive,"Ticketing,CRS,international ticketing,Airport Ground Handling,travelport,Travel Agency,Fares,Amadeus,onkar,cancellation,galileo,GDS,IGT,Cargo Handling,rdm,interglobe,exchange,refund"
HR Executive,"talent management,Human resource Executive,HUMAN RESOURCE,Senior HR Executive,hiring,hr,Talent Acquisition"
Sales Executive/Officer,"Customer service,Account management,Outbound,Sales process,Inside sales,CRM,Inside Sales Representative,Database,Training,Time management"
IT/Networking-Manager,"Front end,Cisco ASA,Networking,Network infrastructure,OEM,Routing,Outsourcing,ITIL,Operations,Technical support"
Software Developer,SAP Project Manager
Software Developer,"Financial services,Consulting,Analytics,GIT,Open source,HTML,Geometry,Artificial Intelligence,UX,Opengl"
Technical Architect,"WCF,C#,Silverlight,JQuery,ADO.Net,Javascript,Windows Phone,Xamarin,Html5,Sharepoint"
Sales Executive/Officer,"retail sales,otc,distributor,retailer,Retail Outlets"
Associate/Senior Associate -(NonTechnical),"Technical support,Outbound,Night shift,Troubleshooting,Sales process,Technical process,International BPO,Associate,Spot"
Software Developer,"cloud,Storage,Server,devops,it infrastructure management,cloud computing,Data Center,IT Infrastructure,application development"
Associate/Senior Associate -(NonTechnical),"Customer Sales Representative,Spoken english,MS Office,Writing,Business Executive"
Sales Executive/Officer,"Promotions,Brand Promotion,It Product Sales,Sales Promotion"
System Administrator,"Unix,Linux,Perl,TCP,Shell scripting,Python,JBoss,Configuration management,HTTP,Unix shell scripting"
Regional Manager,"Internal Audit,Accounting,Finance,Audit Management,Corrective Action,Risk Control,Auditing"
Software Developer,"Informatica,Data Warehousing,Teradata"
Finance Executive,"technology,finance,operations,human resources"
Direct Marketing Executive,"marketing executive,distributors,sales strategy,Business Development,sales executive"
Head/VP/GM/National Manager -Sales,"business development,sales,marketing,competition mapping,market intelligence,cxo,client servicing,strategy,presales,business head,account manager,account director,Marketing Manager"
Service/Maintenance Supervisor,"Service Engineering,Heavy Equipment,Tower Crane"
Software Developer,"Aerospace,FMECA,Hazard analysis,Talent acquisition,Reliability prediction,Stress analysis,Electronics,Mechanical,Management,Testing"
Software Developer,"algorithms,Data Structures,data structure,hibernate,core java,spring,spring boot,REST,java,datastructure,algo,algorithm"
Associate/Senior Associate -(NonTechnical),"semi voice,bpo,international voice,customer service,non voice process,chat,customer experience,Voice,international bpo,bpo fresher,Telecalling,Voice Support,CSR,customer care"
Sales Executive/Officer,"Oil,Sales Engineering,Gas"
Software Developer,"methods,tools,troubleshooting,solid,configuration,maintaining,salesforce com,javascript,salesforce,data loader,api,soap,deployment"
Telecalling/Telemarketing Executive,"us inbound,international voice"
Accounts Executive/Accountant,real estate
Software Developer,"AWS,PHP,Unix,Linux,MySQL,Perl,Windows,Shell scripting,Automation,Python"
Housekeeping Executive/Assistant.,"Front office,Housekeeping,Manager Quality Assurance,Scheduling,Safety training,Inspection,Housekeeping management,Quality standards,Front desk,Room"
Manager / Sr Manager - Administration,"operational support,statutory compliance,Purchase Management,garment export,administration management,clothing,training,facilities,export house,Facility Management"
Software Developer,"tableau,SAP"
Sales Executive/Officer,"revenue generation,Sales,Business Development Executive,Business Development"
Software Developer,"Angularjs,css,HTML,ajax,SOAP,web design,javascript,jquery,REST,web design engineer,Responsive Web Design,ui designer development,UI Development,user interface development,React.Js,Web Development,RWD"
Software Developer,"Java,CSS,Html5,Redis,Spring Boot,Node.Js,Grunt,Javascript,MongoDB,Postgres"
Sales/Business Development Manager,"b2b,internet searching,computer skills,negotiation,branding,advertising,analytical skills,negotiating,sales,ms office,Marketing,promotion"
Finance Executive,"accounts payable,accounts receivable,O2C,P2P,Ap,ar"
Software Developer,"Oracle,SEO,CRM,microsoft,LAN,CMS,Open source,Active directory,Web development,DNS"
Telecalling/Telemarketing Executive,"telecaller,outbound,telesales,Calling,tele marketing executive"
Visualiser,"Visualiser,Senior Graphic Designer,Illustrator,Photoshop,BFA,Commercial Artist,Advertising"
Software Developer,"development,junit,apache,jboss,tomcat,jsp,ajax,javascript,jquery"
Software Developer,"SCSI,SAN,Automation,Communication protocols,SAS,Analytical,System design,Windows,Oracle"
Trainer/Faculty,"software development,part time,devops,cloud,amazon ec2,aws,Azure"
Telecalling/Telemarketing Executive,"international voice process,international bpo,international call center,tele calling,bpo,tele caller,night shift,fresher,customer service,customer support,Cbse,isc,st."
Software Developer,"software development,linux,solaris,yacc,algorithms,data structures,maintaining,lex,unix internals,platforms"
Electrical Engineer-Industrial,"Plumbing,Procurement,Electrical engineering,Accessories,Sustainability,Engineering project management,Tools,Instrumentation,Inventory control,Machinery"
Associate/Senior Associate -(NonTechnical),"communication,Architect,architecture,PHP development,frameworks,code reviews,unit testing"
Software Developer,"C#,asp dot net,Html5,Web Technologies,asp .net,SQL Server,ASP.Net MVC,JQuery,MS SQL,Rest,.Net,ASP.Net,Entity Framework"
Physics Teacher,"Counselor,Mentor,Trainer,Advisor,Teaching"
Area Sales Manager,"area sales management,sales manager,stock management,store management,retail store operations,showroom manager"
Program Manager,"C,Senior management,Project management,Finance,Program delivery,Outsourcing,Management,Operations"
System Administrator,"Disaster recovery planning,Networking,Active directory,DNS,Issue resolution,microsoft,Virtualization,Monitoring,DHCP,System Administrator"
Associate/Senior Associate -(NonTechnical),"Excel,FEA,Sheet metal design,Pro-E,MS Word,Customer service,Mechanical engineering,Solid works"
Sales Executive/Officer,"store executive,sales officer,retail sales,showroom sales,sales executive,store incharge,fmcg sales,sales consultant"
Accounts Manager,"accounting,accounts manager,key accounts manager,Senior Accounts Manager"
Associate/Senior Associate -(NonTechnical),"administration,dialer management,monitoring,collection management,Non Voice,Non Voice Process"
Direct Marketing Executive,"generation,marketing,penetration,web,solutions"
Sales/Business Development Manager,"revenue generation,enterprise software,RPA,prospecting,business solutions,Digital Transformation,IT Sales,sales,account management,erp sales,software solutions,objection handling,selling,Software Sales"
Sales/Business Development Manager,"sales,selling,marketing,insurance,relationship manager,relationship executive,relationship officer,bdm,bde,casa,nbfc,bfsi,financial service,financial planning,bank,securities,loan,banca,agency,channel partner,unit manager,unit head,mutual funds"
Associate/Senior Associate -(NonTechnical),"bpo,csr,customer relationship,technical support engineer,inbound,customer service,customer care,call center,customer support,tsr,outbound,technical service,customer support officer"
Software Developer,"J2Ee,SQL,Linux,JSP,Windows,JBoss,JDBC,MVC,Filenet,Payroll"
Graphic Designer,Commerce
Area Sales Manager,"Area Sales Management,Channel Sales,Institutional Sales,Industry Research"
Accounts Executive/Accountant,"accounting,tds,trial balance,brs,Income Tax,Intercompany Reconciliation,bank reconciliation,balance sheet"
Functional Outside Consultant,"Aviation,Production planning,Analytical,Financial risk,Management consulting,Supply chain operations,Commodity trading,Scheduling,endur,Risk management"
HR Business Partner,"hr generalist activities,employee engagement,strong communication skills,business partnering,hr solutions,compensation,hr,performance management,talent engagement,retention"
Assistant Professor,"Teaching,Educator,Counselor,Mentor,Trainer,Advisor"
Fresher,"secondary research,email process,content writing,Content Writer,Email Writing,E - commerce,Chat Process"
Architect,"AutoCAD,REVIT,Bim,Design,2D Drafting,Detailing,Interiors,Commercial Projects"
Customer Support Engineer/Technician,"Networking,Network troubleshooting,Hardware,ITES,Troubleshooting,Desktop support,Testing"
Team Leader -(NonTechnical),"travel agent activities,Reservation,Customer Support,OTA"
Functional Outside Consultant,"Oracle,Sales,JBoss,Websphere,Weblogic,RDBMS,.Net,Web Technologies,Java,Strategy"
Software Developer,"c#,linq,software development,entity framework,xml,html,MVC,ajax,javascript,sql server,asp net"
Service/Maintenance Supervisor,Supervisor
Client Relationship Manager,"AIX,Linux,Dockers,Software Implementation,Cassandra"
Team Lead/Technical Lead,"gsm,umts,multimedia,embedded software,kernel,perl,cdma,bsp"
Finance Executive,"Cost Accounting,Plant Operations"
Trade Finance Operations Manager,"Trade Finance,Banking,Returns,ECB,Scrutiny,FDI,Hedging,Accounting,Capital Market,Current Account"
Purchase Executive,"import purchase,Global Sourcing,p,global procurement,import sourcing"
Sales Executive/Officer,"Channel Sales,Dealing,Sales Executive Activities"
Software Developer,"javascript,bootstrap,web technologies,algorithms,computer science,rest,api"
Database Architect/Designer,"c++,design,MySQL,HTML,DB2DBA"
Head/VP/GM-HR,"Interpersonal skills,HCM,Networking,Talent development,Investment banking,Talent management,Content development,Financial services,Recruitment"
Accounts Manager,"accounting,finance,auditing,financial operations,budgeting,mis,ca"
Area Sales Manager,"area sales management,product awareness,lead generation,general insurance,customer retention,cross sales,team leading,forex trading,area sales manager,sales,current account,saving account"
Assistant Manager/Manager-(NonTechnical),"Photoshop,Illustrator,Graphic designing,Graphics,Illustration,Social media,Software design,Usage"
DBA,"SQL Queries,Replication,Database Design,Stored Procedures,Performance Monitoring,Database Administration,Data Mining,Design Review,Capacity Planning,System Maintenance"
Functional Outside Consultant,"spring framework,java,data modeling,cassandra,xml,json,agile,data mapping,nosql"
Electrical Engineer-Industrial,"HVAC,Project monitoring,Mechanical,Labour,Project handling,Electricals"
Sales/Business Development Manager,"MICE,GIT,Sales Head,RED,B2B,Head Business Development,Managing Director,Sales Director,Database,Management"
Financial Accountant,"income tax return,Financial Auditing,tds return,advanced excel,tally accounting package,gst,taxation,internal audit,GRAPHS"
Associate/Senior Associate -(NonTechnical),"international bpo,customer service,non voice process,night shift,bpos,communication skills"
Software Developer,"Spring,EJB,Hibernate,J2Ee,JSP Servlets,Core Java,Unix Operating System,Database,Unit Testing,Software Design,UNIX,Unix Shell Scripting"
Executive/ Sr Executive - Administration,"ERP,MIS,Succession Planning,Reports,Talent Management,Human Resources,HR Policies,Recruitment,Talent Acquisition"
Quality Assurance & Quality Control-Executive,"quality engineering,qc engineering,quality assurance engineering,production engineering,manufacturing engineering"
Technical Support Engineer,"C#,Java,Customer Support,Customer Service,C++,Application Software,Linux,troubleshooting / debugging,.Net,Windows,Python,UNIX"
Project Lead,"synthesis,sta,static timing analysis,usb,primetime,rtl,ethernet,rtl design,ddr,Storage,pci,pcie,SATA"
Associate/Senior Associate -(Technical),"Application Support,SQL"
Reservations Executive,Reservation
Outside Consultant,"Peoplecode,Agile,PeopleSoft hcm,File layout,Application engine"
Software Developer,"Python,Web development,Healthcare,Front end,Computer science,Technical documentation,Agile methodology,Analytical,Product planning,Operations"
Team Lead/Technical Lead,"Java,Hibernate,Spring,J2Ee,Struts,JSP Servlets,EJB,JSF,IBATIS,GlassFish"
Software Developer,"ASP,.Net,Entity Framework,OOPS,Data Structure,C#,Design Patterns,OOAD,Javascript"
System Administrator,"production support,Application Support"
Associate/Senior Associate -(NonTechnical),"standard operating procedures,BPO,Customer Service,Ticketing,International Call Center,back office processing,Calling,blended process,Communication Skills,Backend,non voice,reissue,Voice"
Associate/Senior Associate -(NonTechnical),"PR,international bpo,chat process,Aviation,back office,web chat,Guest Relations,Public Speaking,bcom,fresher,inbound process,outbound,uk process,icse,communication skills,cbse"
Marketing Manager,"Marketing Management,Senior Level,Cold Rolling,steel,Plates"
Media Planning Executive/Manager,"Marketing Strategy,Twitter,Facebook,Brand Campaigns,Social Media,Customer Engagement,Buyer Activities,Customer Service"
Counselor,"inside sales,cold calling,administration,lead generation,IT Trainer,Trainer,admissions,conducting interviews,enrollment"
Software Developer,ab initio
Testing Engineer,"cloud,saas,paas,voip,iaas,sip,ims,Testing"
Technical Architect,"development,Integration,SOA,architect,implementation,Teradata,SOAP,SQL,JMS,Rest,ESB,mule esb,design,MongoDB,integrations,architecture"
Design Engineer,"Piping Isometrics,Equipment Layout,Process Equipment,Solid Edge,Soft Skills"
Design Engineer,"Transmission line,Transmission,Structural engineering,Civil,Billing,Electricals"
Sales/Business Development Manager,"Client Acquisition,Field Sales,B2B Sales,Corporate Sales,Enterprise Sales,Hotel Sales"
Software Developer,"Computer science,C++,Networking,Coding,Artificial Intelligence,Data structures,System design,Android,Python,Recruitment"
Associate/Senior Associate -(Technical),"Windows Server Administration,Server Administration,Exchange Server,Active Directory Administration,Office 365,DNS Server,DHCP Server,Network Engineer,network support,Windows Administration,IT Operations,IT Infrastructure,System Administration"
Housekeeping Executive/Assistant.,"guest service,guest satisfaction,facility administration,hospitality,hotel,customer focus,housekeeping,housekeeping management,sales"
System Administrator,"configuration,vpn,isp,switches,dns,troubleshooting,mpls,cisco,dhcp"
Software Developer,"Github,Meteor,Couchdb,Rest,NoSQL,GIT,Django,Javascript,MongoDB,Python"
Accounts Executive/Accountant,"Tally,Data entry,Bank reconciliation,Accounting,Finance,Inventory,Billing,Sales"
Associate/Senior Associate -(NonTechnical),"Customer Service,International Voice Process,Night Shift,Communication Skills,voice based process,CSA,cse,customer support,customer support executive"
Service/Maintenance Engineer,"electricals,home automation,electrical products,power tools,preventive maintenance,automation systems,security systems,Circuit Breakers,machine maintenance"
Sales/Business Development Manager,"Client Development,Sales Management,Ad Space Selling,B2B Sales,Revenue Generation,Marketing"
Content Developer,"Blogger,Creative Writing,Blogs,Social Media,Content Development,Technical Skills,Blogging,Creative Content,Content Writing,Search Engine Optimization"
Software Developer,"PLM,Technical writing,XML,Computer science,Content management,DITA,Management systems,Social media,Project management,CAD"
Associate/Senior Associate -(NonTechnical),"voice,CSR,Customer support,Customer service,Inbound,Technical support,UG,Technical,UPSELLING,Fresher,International voice,US,International BPO"
Correspondent/Assistant Editor/Associate Editor,"Biotechnology,Publishing,Microbiology,Education,Content Editing,Articles,publication,Biology,Editorial,Quality Control"
School Teacher,"Music,Instruments"
Software Developer,"c#,asp.net mvc,sql server"
Software Developer,"Technical product configuration,design,integration PHP,MySQL,HTML,C,c++,JavaScript"
Product/Brand Manager,"Product management,Pharma,Oncology,Critical care,Nephrology,Bsc,top,MNC"
Technical Lead/Project Lead,"steel structures,robot,FE Analysis,structural engineering,rcc,etabs,aci,Civil Engineering,safe,asce,structural design"
Accounts Executive/Accountant,"accounts payable,Payment Gateways,payment processing,bank reconciliation,invoicing,invoice processing,ptp"
Testing Engineer,"selenium,automation testing,quality assurance,web technologies,mobile testing,git,jenkins,manual testing,mysql,cassandra,database testing,ui testing,SQL,JMeter,Appium,Cucumber,Testng,ci,cd"
Head/VP/GM/National Manager -Sales,"Team Head,Recruitment,Cold calling,Oncology,Dermatology,Nephrology,Neuro,Social media,Microbiology,Anesthesia"
Accounts Manager,"TDS,Accounting,Finance,Vendor Reconciliation,Chartered Accountant,General Ledger,Accounts Receivable,Taxation,VAT Audit,Accounts Payable,Auditing"
Testing Engineer,"Performance testing,Module,Project delivery,Entry level,English language,Application testing,Test Lead,Language skills,Management,process"
Area Sales Manager,"area business manager,area sales manager,first line manager,abm,asm,area manager,Team Handling,Team Management"
Software Developer,"excel,dom,html,Node.Js,IT,React.Js,javascript"
Associate/Senior Associate -(NonTechnical),"auditing,fraud detection,due diligence,quality analysis,Anti Money Laundering,content screening,Content Analysis,Customer Due Diligence Analyst,Investigation Executive,Fraud Monitoring"
Training Manager,"Data migration,Data management,Silverlight,Consulting,Workflow,Application development,Visual Studio,Business intelligence,Module,SQL"
Software Developer,"Automation,Linux,Coding,Functional testing,Debugging,Javascript,Performance testing,Agile,Selenium,Ruby"
Team Lead/Technical Lead,"Engineering services,sap mii,Architecture,Technology Lead,Design development,Packaging,Management,Business Executive,OEE"
HR Executive,"Hiring,Interviewing,Recruitment"
Software Developer,"Db2,Core Banking,Cobol,Computer Science,RPG,AS400,Corporate Banking,ISERIES"
Technical Support Engineer,"Javascript,HTML,Active Directory,Group Policy,Windows Server,SAML,Operating Systems,Technical Support,Service Quality,Customer Satisfaction"
Marketing Manager,"Brand activation,Budgeting,Management,Monitoring"
Associate/Senior Associate -(Technical),"voice support,technical voice process,customer service,technical support,international voice,remote support,communication skills,escalations,service delivery,process efficiency,Japanese"
Quality Assurance/Quality Control Manager,"SEC,QC,Customer Executive,Third party inspection,Business Executive,Testing"
Accounts Executive/Accountant,"vendor master,finance,p2p,invoice processing,query resolution,service level,Accounts Payable,vendor management"
Associate/Senior Associate -(NonTechnical),"Customer Service,Solving Queries,Chat Process,email process,bpo,call center,voice process,Non Voice Process,International Call Center,Fresher,bpo fresher"
Accounts Executive/Accountant,"Credit Officers,Capital Advisors,Risk Management,Administration,Analysts,Report Generation,Mortgage Advisors,analytical skills"
Software Developer,"Java,JSF,EJB"
Software Developer,"Linux,Debugging,Memory management,Linux kernel programming,Programming"
Team Lead/Technical Lead,"Java,Hibernate,Software Product Development,JSP,Eclipse,Web Technologies,Swing,JSF,Web Services,SQL"
Associate/Senior Associate -(NonTechnical),"BPO,Outbound,Customer relationship,E-learning,Gaming,SAT,IVR,LMS,Soft skills training,Customer Service Executive"
Telecalling/Telemarketing Executive,"bpo,Tele Sales Executive,telecaller,Convincing Power,outbound process,Personal Loans,sales executive activities,voice process,Selling Skills,telesales,outbound sales,Telemarketing,communication skills"
Network Administrator,"Wireless,Networking,WAN,VPN,Configuration management,DNS,cisco,MPLS,Firewall,OSPF"
Sales/Business Development Manager,"events,seminars,organizing,business development manager,targets,new products,marketing strategies,sales revenue,executing"
Software Developer,"design,javascript,multimedia,web"
Sales/Business Development Manager,"Key Accounts,Government Sales,Sales Operations,Customer Satisfaction,Sales Management,National Sales,Marketing,Order Management,Sales Process,Order Processing,Sales Order"
International Marketing Manager,"contract manufacturing,international sales,international marketing,business development,international business,Export Marketing"
Team Lead/Technical Lead,"CSS,NoSQL,Responsive Web Design,Javascript,HTML,MongoDB,Web Application Development,Node.Js,JQuery,Web Designing,React.Js,Velocity"
Sales/Business Development-Manager,"agency channel,health insurance,senior sales manager,agency sales,bdm,senior agency manager,sales,life insurance,marketing,sales manager,agency development,insurance sales,branch manager,business manager,agency manager,general insurance"
Hardware Installation Technician,"it networking,sonicwall firewall,computer hardware,network administrator,biometrics,computer service engineer"
Analyst,"ideas,views,research analyst,financial models,communication skills,be,financing,working,generation,industry"
Audit Manager,"Chartered Accountant,Statutory Auditor"
Technical Architect,"SAP PM,N3,Japanese"
Sales Executive/Officer,"Customer Care,cce,customer care executive"
Software Developer,"Ruby on rails,SCM,PHP,Linux,GIT,SQL,Computer science,Apache,Ajax,Agile"
Telesales/Telemarketing Executive/Officer,"Field Sales,Direct Sales,Telesales,Tele sales"
Sales/Business Development Manager,"Agency sales,Financial services,Recruitment,Training,Sales,Financial services sales,Banking,Sales training"
Solution Architect / Enterprise Architect,"solution Architect,enterprise architecture"
Travel Agent,"Ticketing,international ticketing,galileo,Reservation,GDS,Corporate Travel,Travel Counsellor,travel consultant,implant executive,ticketing executive,Transit Visa,Travel Desk,implant"
Software Developer,"Java,J2Ee,Spring,Software Engineering,Software Architecture,Open Source,Agile,Scrum,Browser Compatibility,OOPS,Design principles,Spring MVC,Spring Security,JDBC"
Outside Consultant,"design patterns,java,quality control,integration testing,environment management,software solutions,change management,technical documentation"
System Analyst,"was administrator,websphere admin,was admin,WAS Administration,websphere administrator,Middleware"
Software Developer,"Application integration,Front end,html5,Wordpress,Javascript,PHP,MVC,Object oriented programming,Recruitment,CSS3"
Software Developer,"Javascript,XML,HTML,Ajax,jQuery,Manager Quality Assurance,Application development,Eclipse,Data structures,Open source"
Software Developer,"PDF,Architecture,Techno functional,System integration testing,Financial planning,Architecting,Oracle,User acceptance testing,Hyperion planning,Recruitment"
Software Developer,"c++,C,design,MySQL,JavaScript,HTML"
Software Developer,"React,Redux,ES6,Typescript,HTML5,CSS3,html,css,reactjs,react.js,java,fullstack,full stack"
EDP Analyst,"sapmm,SAP PP,sap sd,sap is,excel,material master,key skills,sap mm,tally,word,pricing,ms office"
Sales Executive/Officer,"Luxury,Sales Coordination,Sales Executive,Sales Executive Activities"
Software Developer,"HTML,Multithreading,Javascript,continuous integration,css,Test scripts,html5,methods,mobile,Production handling,Computer science,Front end,application,TDD,web,developer,api,angularjs"
Bid Manager,"PHP,CSS,MySQL,Wordpress,Joomla,Codeigniter,XHTML,Dreamweaver"
Sales/Business Development Manager,Sales Representative
Teacher/ Private Tutor,"Teaching,Educator,Counselor,Mentor,Trainer,Advisor"
Software Developer,"Gaming,Sound Engineer"
Associate/Senior Associate -(NonTechnical),"International Call Center,Customer Care,Chat Process,International BPO"
Branch Manager,"Communication Skills,Business Growth,Branch Management,Report Preparation,Gold Loan,Networking Skills,Employee Training"
Recruitment Manager,"RPO,Communication Skills,Team Handling,Go Getter,Pressure Handling,Enterprise Software,IT Recruitment,Social Networking,Sourcing,Head Hunting,Recruitment,Talent Acquisition"
Associate/Senior Associate -(NonTechnical),"BPO,international calling,english literature,international bpo,verbal communication,international voice,engineering fresher,fresher,Night shift,communication skills,cbse"
System Administrator,"Consulting,Automation,Software services,Coding,Architecture,Open source,PAAS,High level design,Cloud,devops"
Recruitment Executive,"IT Recruiter,it hiring,it recruitment,IT Staffing,technical recruitment,hiring,Technical recruiter,technical hiring"
Sales Executive/Officer,"Lead Generation,Content Marketing,Field Sales,Inside Sales,Night Shift,Market Research,Sales Executive Activities,Outbound Calling"
Quality Assurance/Quality Control Executive,"bpo,call centre,quality control tools,Quality Analyst,tele sales,qc tools,operations,outbound sales,tl,Quality Auditor"
Analytics Manager,"Data Modeling,Python,R,Machine Learning,Predictive Modeling,Analytics,Project Management,Clinical Data Management,Data Analytics"
Corporate Planning/Strategy Manager,Research Analyst
Technical Support Engineer,"Communication Skills,Oracle SQL,Unix Shell Scripting,Application Support,SQL Database,Production Support"
Operations Manager,"Operations,Operations Management,Operations Manager,Loyalty Programs,Loyalty Program Management,ops,Rewards,loyalty,loyalty program,Client Servicing,Assistant Manager Operations"
Software Developer,"react.js,java,core java,Angularjs,Spring Boot,Microservices"
Software Developer,"Social media marketing,B2B,PPC,Email marketing,Campaign management,SEO,Digital marketing,Facebook,CRM"
Credit/Control Manager,"Business analytics,Financial services,Monitoring,Senior management,Banking,Flex,Credit risk management,Executive search,Business solutions,Personal loans"
Team Lead/Technical Lead,"Unix,Automation,Linux,Debugging,Intellectual property,VOIP,Perl,SIP,Virtualization,Python"
Recruitment Executive,"hr recruiter,non it recruiter,recruitment consultant,recruitment executive,Non It,recruiter,it recruiter"
Lecturer/Professor,"Teaching,Educator,Counselor,Mentor,Trainer,Advisor"
Associate/Senior Associate -(NonTechnical),"bpo,bba,Cca,international bpo,inbound,back office,mcom,customer service,call center,mba,bcom,fresher,chat,uk process,non voice,backend,email,customer care executive"
Sales Officer,"Lead generation,Investment products,Corporate,Client relationship"
Sales/Business Development Manager,"project sales,marketing,industrial sales,cement,construction chemicals,business development,institutional sales,building material,sales,construction equipment"
Purchase Officer,"New Vendor Development,development,New Product Development,woven,Fabric Development,Merchandising,analysis,lab,sourcing,r&d,weaving,Buying,fabric,yarn,Buyer Activities"
Accounts Executive/Accountant,"Accounting,Book Keeping,Purchase,TDS,TDS Return,ERP,Journal Entries,Internal Audit,Balance Sheet,MIS Reporting"
Team Lead/Technical Lead,"Enterprise Architecture,Java,PaaS,Cassandra,IaaS,Redis,SQL Server,HBase,Cloud Computing,SCALA,Computer Science,MongoDB,AWS,Python"
Software Developer,"Front office,Web services,oracle coherence,Risk,Oracle,Risk management,Spring"
Software Developer,"Project management,Javascript,PHP,development,analytical,software,Perl,SDLC,jQuery,MySQL,linux,Open source,Ajax,Python,flash"
Software Developer,"jQuery,Symfony,Moodle,OOPS,MySQL,Javascript,PHP,CakePHP,HTML,JIRA"
Project Manager-Production/Manufacturing/Maintenance,"leadership,team leading,teams leader"
Project Manager-IT/Software,"Category Management,Payment Gateways,Account Management,Commerce,Digital Marketing,SEM,Facebook Marketing,SEO,E - commerce,Analytics Reporting"
System Administrator,"SAN,Performance tuning,Linux,Cisco,Engineering Manager,Windows,microsoft,Troubleshooting,System Administrator,Technical support"
Software Developer,"Six Sigma,.NET,Python,assembly language,development,java,JavaScript,HTML,developer,Oracle,SQL"
Accounts Executive/Accountant,"Tally,Trainee Business Executive,C,Excel,Accounting,Accountant Trainee,Business Executive"
Associate/Senior Associate -(NonTechnical),"International BPO,Customer Care,Captive Unit,Calling,Spoken English,us process,credit card collections,uk process,voice process,Customer Service,amex,bpo,international call center"
Associate/Senior Associate -(NonTechnical),"chat process,international bpo,customer service,customersupport,non voice,csat"
Associate/Senior Associate -(Technical),"Service Level,Customer Service,Application Software,Infrastructure Services,Technical Support,Voice Support,Remote Infrastructure,Infrastructure Support,IT Services,Support Services"
Sales Coordinator,"Communication Skills,inside sales,After Sales Support,Lead Generation,Telesales,Field Sales,Cold Calling,Sales Coordination,presales,Telemarketing,Marketing,CRM"
Sales Executive/Officer,"Trade,Sales,Customer service,Sales Executive,Primary sales,Secondary sales,Inventory,Sales achievement"
Software Developer,"Big Data,Spark,Informatica,emr,Apache,SQL,Python"
Associate/Senior Associate -(NonTechnical),"process,Outbound process,web sales,Website sales,Voice process,B2B,MNC,Packaging,bpo,sales executive,customer care executive,cce"
Trainee,"QA,Software Testing,Automation Testing,Manual Testing"
Software Developer,"Computer science,Distribution system,Machine learning,Object oriented design,Analytical,E-commerce,Programming,Manager Technology,Deployment,Signalling"
Trainee,"Engineering services,Recruitment"
